"cust_id,lookalikes"
"C0001,""[{'CustomerID': 'C0152', 'SimilarityScore': 0.9999999593997122}, {'CustomerID': 'C0190', 'SimilarityScore': 0.9999999582538467}, {'CustomerID': 'C0048', 'SimilarityScore': 0.9999999552722165}]"""
"C0002,""[{'CustomerID': 'C0010', 'SimilarityScore': 0.9999998084977542}, {'CustomerID': 'C0199', 'SimilarityScore': 0.9999997592703939}, {'CustomerID': 'C0142', 'SimilarityScore': 0.9999997417957069}]"""
"C0003,""[{'CustomerID': 'C0052', 'SimilarityScore': 0.9999999481142703}, {'CustomerID': 'C0035', 'SimilarityScore': 0.99999989309071}, {'CustomerID': 'C0158', 'SimilarityScore': 0.9999997747059006}]"""
"C0004,""[{'CustomerID': 'C0017', 'SimilarityScore': 0.9999999046028758}, {'CustomerID': 'C0068', 'SimilarityScore': 0.999999897641802}, {'CustomerID': 'C0099', 'SimilarityScore': 0.999999892505193}]"""
"C0005,""[{'CustomerID': 'C0186', 'SimilarityScore': 0.9999999427146784}, {'CustomerID': 'C0159', 'SimilarityScore': 0.9999999022771554}, {'CustomerID': 'C0007', 'SimilarityScore': 0.999999893004493}]"""
"C0006,""[{'CustomerID': 'C0117', 'SimilarityScore': 0.9999999765600999}, {'CustomerID': 'C0168', 'SimilarityScore': 0.9999999711441467}, {'CustomerID': 'C0125', 'SimilarityScore': 0.9999998496376817}]"""
"C0007,""[{'CustomerID': 'C0115', 'SimilarityScore': 0.9999999530487726}, {'CustomerID': 'C0005', 'SimilarityScore': 0.999999893004493}, {'CustomerID': 'C0066', 'SimilarityScore': 0.999999815579543}]"""
"C0008,""[{'CustomerID': 'C0175', 'SimilarityScore': 0.9999991184288994}, {'CustomerID': 'C0065', 'SimilarityScore': 0.9999988678695965}, {'CustomerID': 'C0141', 'SimilarityScore': 0.9999977950373105}]"""
"C0009,""[{'CustomerID': 'C0043', 'SimilarityScore': 0.9999984460414794}, {'CustomerID': 'C0071', 'SimilarityScore': 0.9999976600184978}, {'CustomerID': 'C0077', 'SimilarityScore': 0.9999972070827078}]"""
"C0010,""[{'CustomerID': 'C0029', 'SimilarityScore': 0.9999998562515072}, {'CustomerID': 'C0199', 'SimilarityScore': 0.9999998216487249}, {'CustomerID': 'C0002', 'SimilarityScore': 0.9999998084977542}]"""
"C0011,""[{'CustomerID': 'C0137', 'SimilarityScore': 0.9999999710012896}, {'CustomerID': 'C0107', 'SimilarityScore': 0.999999961644932}, {'CustomerID': 'C0183', 'SimilarityScore': 0.999999926878127}]"""
"C0012,""[{'CustomerID': 'C0013', 'SimilarityScore': 0.999999901644565}, {'CustomerID': 'C0051', 'SimilarityScore': 0.9999998889444452}, {'CustomerID': 'C0108', 'SimilarityScore': 0.9999998842911391}]"""
"C0013,""[{'CustomerID': 'C0087', 'SimilarityScore': 0.999999974225442}, {'CustomerID': 'C0046', 'SimilarityScore': 0.9999999702994979}, {'CustomerID': 'C0155', 'SimilarityScore': 0.9999999668670156}]"""
"C0014,""[{'CustomerID': 'C0130', 'SimilarityScore': 0.9999887884766816}, {'CustomerID': 'C0058', 'SimilarityScore': 0.9999870287746059}, {'CustomerID': 'C0110', 'SimilarityScore': 0.9999856763260978}]"""
"C0015,""[{'CustomerID': 'C0144', 'SimilarityScore': 0.9999997194046081}, {'CustomerID': 'C0063', 'SimilarityScore': 0.9999995369217672}, {'CustomerID': 'C0198', 'SimilarityScore': 0.9999992278074683}]"""
"C0016,""[{'CustomerID': 'C0183', 'SimilarityScore': 0.9999999999304108}, {'CustomerID': 'C0107', 'SimilarityScore': 0.9999999455076601}, {'CustomerID': 'C0149', 'SimilarityScore': 0.9999999361156257}]"""
"C0017,""[{'CustomerID': 'C0021', 'SimilarityScore': 0.9999999360991686}, {'CustomerID': 'C0004', 'SimilarityScore': 0.9999999046028758}, {'CustomerID': 'C0162', 'SimilarityScore': 0.9999998925420768}]"""
"C0018,""[{'CustomerID': 'C0171', 'SimilarityScore': 0.9999999816956169}, {'CustomerID': 'C0187', 'SimilarityScore': 0.9999999726677617}, {'CustomerID': 'C0064', 'SimilarityScore': 0.9999999505163676}]"""
"C0019,""[{'CustomerID': 'C0116', 'SimilarityScore': 0.9999996490667588}, {'CustomerID': 'C0034', 'SimilarityScore': 0.9999993190873323}, {'CustomerID': 'C0172', 'SimilarityScore': 0.9999990964005956}]"""
"C0020,""[{'CustomerID': 'C0080', 'SimilarityScore': 0.9999986567332599}, {'CustomerID': 'C0110', 'SimilarityScore': 0.9999985666788865}, {'CustomerID': 'C0078', 'SimilarityScore': 0.9999976462240383}]"""
